,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
1163,Economy Class,3,3,1,1,4,4,1,1
1164,Economy Class,3,2,2,3,3,3,1,1
1165,Business Class,1,5,3,3,3,1,1,0
1166,First Class,1,1,1,1,1,1,1,0
1167,Economy Class,5,4,4,3,4,4,1,1
1168,Business Class,4,5,4,3,2,3,1,1
1169,Economy Class,4,1,2,1,5,2,1,0
1170,Economy Class,2,1,1,1,1,2,1,0
1171,Economy Class,2,2,1,1,2,2,1,0
1172,Economy Class,3,3,1,3,2,4,1,1
1173,Business Class,5,5,5,3,3,5,1,1
1174,Business Class,5,5,5,3,4,5,1,1
1175,Economy Class,1,2,1,3,1,1,1,0
1176,Business Class,3,2,4,2,3,3,1,0
1177,Premium Economy,5,3,4,3,1,1,1,0
1178,Business Class,3,4,4,3,4,5,1,1
1179,Economy Class,3,3,1,1,3,2,1,0
1180,Economy Class,3,1,3,3,1,1,1,0
1181,Economy Class,1,2,2,3,3,2,1,0
1182,Economy Class,1,2,2,3,3,1,1,0
1183,Economy Class,3,3,3,1,4,3,1,1
1184,Business Class,4,1,1,3,1,3,1,0
1185,Economy Class,5,5,4,1,5,5,1,1
1186,Economy Class,4,4,2,3,4,2,1,1
1187,Business Class,2,3,1,4,4,3,1,0
1188,Economy Class,2,1,1,3,2,1,1,0
1189,Premium Economy,1,3,1,3,4,4,1,1
1190,Economy Class,3,4,2,3,4,3,1,1
1191,Economy Class,3,4,3,3,1,3,1,0
1192,Economy Class,3,5,2,3,3,3,1,1
1193,Business Class,1,1,1,1,1,1,1,0
1194,Business Class,2,3,1,3,4,2,1,0
1195,Business Class,2,3,1,1,1,2,1,0
1196,Economy Class,5,5,5,5,4,4,1,1
1197,First Class,1,1,1,1,1,1,1,0
1198,Economy Class,3,4,1,3,4,4,1,1
1199,Economy Class,3,3,3,3,4,3,1,0
1200,Economy Class,3,5,3,3,1,1,1,0
1201,Economy Class,2,5,5,3,4,5,1,1
1202,Economy Class,5,5,3,3,5,5,1,1
1203,Economy Class,4,4,1,3,3,3,1,1
1204,Economy Class,3,2,3,3,4,3,1,0
1205,Business Class,2,2,2,3,3,2,1,0
1206,Economy Class,2,1,1,1,3,3,1,0
1207,Economy Class,1,2,2,2,3,2,2,0
1208,Economy Class,2,4,1,2,3,1,1,0
1209,Premium Economy,3,5,3,3,2,3,1,0
1210,Economy Class,1,1,1,1,3,1,3,0
1211,Business Class,2,4,3,3,3,3,1,0
1212,Business Class,1,3,1,3,3,2,1,0
1213,Business Class,3,1,1,1,3,1,1,0
1214,Economy Class,4,5,4,3,4,4,1,1
1215,Economy Class,1,1,1,3,2,1,1,0
1216,Business Class,4,5,4,2,2,5,1,1
1217,Economy Class,3,4,4,3,5,2,1,1
1218,Business Class,4,5,3,3,4,4,1,1
1219,Business Class,4,5,4,2,5,5,1,1
1220,Economy Class,3,5,3,4,4,3,1,1
1221,Economy Class,2,4,2,4,5,4,1,1
1222,Business Class,1,3,1,3,2,1,1,0
1223,Business Class,4,1,1,2,4,1,1,0
1224,Economy Class,1,2,3,3,1,1,1,0
1225,Business Class,2,2,2,1,1,2,1,0
1226,Economy Class,3,1,1,3,3,2,1,1
1227,Economy Class,2,4,2,1,3,2,1,0
1228,Economy Class,4,4,2,1,4,4,1,0
1229,Business Class,3,5,4,1,4,4,1,1
1230,Economy Class,3,1,2,3,4,2,1,0
1231,Economy Class,4,5,4,3,5,5,1,1
1232,Economy Class,1,1,3,3,1,1,1,0
1233,Economy Class,3,3,1,3,2,2,2,0
1234,Economy Class,1,1,1,1,1,1,1,0
1235,Economy Class,3,4,3,3,4,4,1,1
1236,Economy Class,2,2,2,3,2,2,1,0
1237,First Class,2,4,2,2,3,2,1,0
1238,Business Class,3,1,1,1,2,1,1,0
1239,Economy Class,5,5,5,3,5,5,1,1
1240,Economy Class,2,1,1,1,5,2,1,0
1241,Economy Class,2,1,1,3,1,2,1,0
1242,Business Class,2,5,1,3,5,2,1,0
1243,Business Class,3,3,2,3,3,3,1,0
1244,Economy Class,3,2,1,1,2,2,1,0
1245,Business Class,4,2,1,3,1,2,1,0
1246,Business Class,1,4,1,2,2,1,1,0
1247,Premium Economy,5,5,5,5,4,4,3,1
1248,Business Class,2,2,1,3,3,2,1,0
1249,Economy Class,2,3,1,1,3,1,1,0
1250,Business Class,1,2,1,1,3,1,1,0
1251,Economy Class,3,4,4,3,1,1,1,0
1252,Economy Class,1,5,3,3,1,1,1,0
1253,Economy Class,1,1,1,3,1,1,1,0
1254,Premium Economy,3,4,3,3,2,1,1,0
1255,Business Class,3,1,3,3,1,1,1,0
1256,Economy Class,1,1,1,1,2,2,1,0
1257,Economy Class,3,1,1,2,4,2,1,0
1258,Premium Economy,2,1,1,1,3,3,1,0
1259,Economy Class,1,2,3,3,2,1,1,0
1260,Economy Class,2,1,1,3,1,1,1,0
1261,Economy Class,3,4,3,3,3,3,1,0
1262,Economy Class,3,2,3,3,1,1,1,0
1263,Business Class,1,2,1,1,1,1,1,0
1264,Economy Class,4,3,2,3,1,3,1,0
1265,Business Class,1,2,2,2,2,1,1,0
1266,Business Class,3,4,3,3,3,5,1,1
1267,Economy Class,1,1,1,1,1,1,1,0
1268,Economy Class,3,4,3,3,1,3,1,0
1269,Economy Class,1,3,1,1,1,1,1,0
1270,Economy Class,2,2,1,2,2,1,1,0
1271,Economy Class,5,5,5,5,4,4,1,1
1272,Economy Class,2,1,1,3,1,1,1,0
1273,Economy Class,3,1,1,3,2,2,1,0
1274,Economy Class,3,4,3,3,4,5,1,1
1275,Economy Class,2,1,1,3,2,1,1,0
1276,Economy Class,1,1,1,3,1,1,1,0
1277,Business Class,2,5,4,3,3,1,1,0
1278,Economy Class,2,3,1,1,3,4,1,0
1279,Economy Class,2,2,3,3,2,2,1,0
1280,Business Class,1,3,1,1,1,1,1,0
1281,Economy Class,3,1,1,3,2,2,1,0
1282,Economy Class,4,4,4,4,4,4,1,1
1283,Business Class,4,2,2,1,1,2,1,0
1284,Economy Class,1,1,1,3,3,1,1,0
1285,Business Class,3,3,3,3,3,3,1,1
1286,Business Class,1,1,1,1,2,1,1,0
1287,Economy Class,3,2,1,1,3,3,1,1
1288,Economy Class,3,1,3,3,1,1,1,0
1289,Economy Class,1,2,2,3,1,2,1,0
1290,Economy Class,4,5,5,4,4,5,1,1
1291,Business Class,4,3,4,3,3,2,1,0
1292,Business Class,1,4,1,2,3,1,1,0
1293,Economy Class,2,2,1,1,3,2,1,0
1294,Business Class,4,5,4,3,3,4,1,1
1295,Economy Class,4,5,5,3,5,4,1,1
1296,Economy Class,4,5,5,4,5,5,1,1
1297,Economy Class,1,3,1,4,3,3,1,0
1298,Premium Economy,1,1,3,2,2,2,1,0
1299,Business Class,3,3,3,2,4,3,1,1
1300,Economy Class,2,1,1,1,4,3,1,0
1301,Premium Economy,2,2,2,2,3,2,1,0
1302,Economy Class,3,4,3,3,1,1,1,0
1303,Economy Class,4,5,4,3,3,4,1,1
1304,Economy Class,3,2,1,1,1,1,1,0
1305,Economy Class,1,1,1,3,1,1,1,0
1306,Economy Class,2,3,3,3,1,2,1,0
1307,Economy Class,1,1,1,3,1,1,1,0
1308,Business Class,1,1,1,1,2,1,1,0
1309,Economy Class,2,3,3,3,3,3,1,0
1310,Economy Class,3,1,1,3,4,2,1,1
1311,Economy Class,3,4,3,3,1,1,1,0
1312,Economy Class,2,1,1,2,2,1,1,0
1313,First Class,5,5,5,5,5,5,1,1
1314,Economy Class,2,2,3,3,1,1,1,0
1315,Business Class,1,2,1,1,1,1,1,0
1316,Business Class,3,4,3,3,1,3,1,0
1317,Economy Class,3,1,1,3,3,1,1,0
1318,Economy Class,1,1,1,3,4,1,1,0
1319,Economy Class,2,2,1,3,1,1,1,0
1320,Business Class,2,2,3,4,2,2,1,0
1321,Business Class,1,4,1,3,4,2,1,0
1322,Business Class,1,2,1,1,2,2,1,0
1323,Economy Class,4,1,1,3,3,1,1,0
1324,Economy Class,1,1,3,3,1,1,1,0
1325,Premium Economy,4,4,4,4,4,4,1,1
1326,Economy Class,5,5,3,3,1,2,1,1
1327,Premium Economy,1,3,3,1,1,3,1,0
1328,Economy Class,2,2,3,3,1,1,1,0
1329,Premium Economy,1,2,1,2,1,1,1,0
1330,Economy Class,1,1,1,1,1,1,1,0
1331,Premium Economy,3,2,2,4,4,1,1,0
1332,Business Class,1,1,1,2,1,1,1,0
1333,Premium Economy,3,3,3,2,5,3,1,0
1334,Economy Class,1,1,1,1,1,1,1,0
1335,Premium Economy,4,1,1,5,4,2,1,0
1336,Business Class,4,5,3,3,1,4,1,0
1337,Business Class,2,2,1,3,3,2,1,0
1338,Business Class,4,5,4,3,4,4,1,1
1339,Economy Class,2,1,3,3,3,4,1,1
1340,Premium Economy,1,1,1,1,1,1,1,1
1341,Business Class,2,1,1,3,4,2,1,0
1342,Business Class,3,5,4,3,5,5,1,1
1343,Economy Class,1,2,1,1,2,2,1,0
1344,Business Class,2,4,1,1,2,1,1,0
1345,Premium Economy,2,4,2,3,1,2,1,0
1346,Economy Class,1,2,1,3,1,1,1,1
1347,Premium Economy,1,3,1,1,1,1,1,0
1348,Economy Class,1,2,2,3,3,3,1,0
1349,Business Class,3,4,3,3,1,1,1,0
1350,Business Class,1,1,3,3,2,1,1,0
1351,Premium Economy,2,2,2,3,2,1,1,0
1352,Premium Economy,4,4,4,4,5,2,1,1
1353,First Class,3,5,2,2,1,1,1,0
1354,Business Class,2,1,1,3,4,1,1,0
1355,Premium Economy,3,1,1,4,3,2,1,0
1356,Economy Class,1,2,1,1,3,2,1,0
1357,Economy Class,4,4,3,3,5,4,1,1
1358,Economy Class,2,3,1,3,1,1,1,0
1359,Business Class,3,1,2,2,3,1,1,0
1360,Economy Class,1,1,2,5,1,1,1,0
1361,Premium Economy,5,5,5,3,5,5,1,1
1362,Economy Class,2,1,3,3,1,1,1,0
1363,Business Class,1,1,1,3,1,1,1,0
1364,Economy Class,2,3,1,1,3,2,1,0
1365,Business Class,1,1,1,4,1,1,1,0
1366,Economy Class,1,2,3,3,3,1,1,0
1367,First Class,4,2,1,3,5,1,1,0
1368,Business Class,2,3,1,1,3,2,1,0
1369,Premium Economy,2,3,3,3,1,1,1,0
1370,Economy Class,3,2,1,1,2,1,1,0
1371,Business Class,4,5,4,3,3,3,1,0
1372,Business Class,3,1,2,4,3,3,1,0
1373,Economy Class,2,5,3,3,1,1,1,0
1374,Business Class,4,4,4,2,3,4,1,1
1375,Business Class,1,2,1,3,2,1,1,0
1376,Economy Class,3,3,3,3,4,2,1,0
1377,Economy Class,3,2,1,3,3,2,1,0
1378,Economy Class,3,2,3,3,3,3,1,0
1379,Economy Class,1,1,3,3,1,1,1,0
1380,Economy Class,4,1,1,5,5,4,1,1
1381,Economy Class,4,5,5,5,5,5,1,1
1382,Business Class,2,4,1,1,1,1,1,0
1383,Economy Class,3,3,3,3,3,4,1,1
1384,Economy Class,3,4,3,1,4,2,1,0
1385,Economy Class,1,1,3,3,3,1,1,0
1386,Economy Class,4,5,5,4,4,4,1,1
1387,Economy Class,3,4,3,3,1,1,1,0
1388,Economy Class,4,5,4,4,3,4,1,1
1389,Business Class,3,2,2,2,4,3,1,0
1390,Economy Class,4,4,4,3,1,3,1,0
1391,Economy Class,5,5,5,3,5,5,1,1
1392,Economy Class,3,4,3,3,1,1,1,0
1393,Premium Economy,4,5,4,3,4,4,1,1
1394,Business Class,3,2,2,1,4,5,1,1
1395,Business Class,3,4,2,4,3,3,1,0
1396,Economy Class,3,5,3,3,1,2,1,0
1397,Economy Class,1,2,1,3,4,1,1,0
1398,Economy Class,3,3,1,2,3,2,1,0
1399,Economy Class,1,1,1,3,4,1,1,0
1400,Business Class,4,5,5,3,5,5,1,1
1401,Premium Economy,1,1,1,1,1,1,1,0
1402,Economy Class,2,1,3,3,1,1,1,0
1403,Economy Class,1,1,1,3,1,1,1,0
1404,Business Class,4,4,3,1,4,4,1,1
1405,Business Class,3,5,3,2,4,4,1,1
1406,Economy Class,3,4,3,3,3,4,1,0
1407,Economy Class,5,5,5,3,5,5,1,1
1408,Premium Economy,2,1,1,2,3,2,1,0
1409,Business Class,2,1,1,3,1,3,1,0
1410,First Class,4,5,3,4,5,5,1,0
1411,Economy Class,3,4,3,4,5,4,1,1
1412,Economy Class,1,1,1,3,1,1,1,0
1413,Economy Class,1,2,3,3,1,1,1,0
1414,Economy Class,1,1,3,3,1,1,1,0
1415,Economy Class,1,1,3,1,1,1,1,0
1416,Premium Economy,1,3,2,1,3,1,1,0
1417,Business Class,3,4,3,3,1,1,1,0
1418,Economy Class,3,1,1,3,4,1,1,0
1419,Economy Class,2,1,1,3,4,1,1,0
1420,Economy Class,3,3,2,3,5,3,1,1
1421,Economy Class,4,1,1,3,3,2,1,0
1422,Economy Class,4,5,3,3,4,4,1,1
1423,Business Class,1,3,1,3,2,1,1,0
1424,Economy Class,5,5,4,4,5,5,1,1
1425,Economy Class,3,2,1,3,3,1,1,0
1426,Premium Economy,3,2,1,2,1,1,1,0
1427,Economy Class,5,5,5,5,4,4,1,1
1428,First Class,3,4,1,2,3,3,1,0
1429,First Class,3,4,2,2,4,2,1,0
1430,Business Class,2,4,4,3,2,2,1,0
1431,Economy Class,4,5,5,5,5,5,1,1
1432,Economy Class,3,1,1,3,2,2,1,0
1433,Business Class,2,4,1,3,4,2,1,0
1434,Economy Class,4,3,1,1,3,1,1,0
1435,Business Class,5,5,5,5,5,4,1,1
1436,Business Class,4,4,4,3,3,4,3,1
1437,Economy Class,4,3,2,3,4,3,1,0
1438,Economy Class,2,3,1,3,2,2,1,0
1439,Economy Class,3,3,1,1,2,1,1,0
1440,Economy Class,1,1,1,1,1,1,1,0
1441,Economy Class,1,4,2,3,4,2,1,0
1442,Economy Class,1,1,1,1,1,1,1,0
1443,Premium Economy,5,5,5,4,3,5,1,1
1444,Business Class,2,4,3,3,4,3,1,0
1445,Business Class,2,5,1,3,5,3,1,0
1446,Economy Class,1,1,3,3,3,3,1,0
1447,Economy Class,2,1,1,3,1,1,1,0
1448,Business Class,2,4,1,3,3,1,1,0
1449,Business Class,5,5,4,3,5,4,1,1
1450,Business Class,1,1,1,1,4,2,1,0
1451,Economy Class,3,4,1,3,3,3,1,0
1452,Economy Class,5,4,1,4,4,4,1,1
1453,Economy Class,2,1,2,3,5,1,1,0
1454,Economy Class,4,4,3,4,5,4,1,1
1455,Economy Class,1,3,1,5,2,1,1,0
1456,Business Class,4,4,3,3,4,5,1,1
1457,Economy Class,2,3,1,3,3,2,1,0
1458,Economy Class,2,1,1,3,3,1,1,0
1459,Business Class,1,1,1,1,1,3,1,0
1460,Economy Class,1,1,1,3,1,2,1,0
1461,Economy Class,1,3,1,2,3,1,1,0
1462,Economy Class,4,1,1,3,1,1,1,1
1463,Economy Class,2,2,1,1,1,1,1,0
1464,Economy Class,1,3,2,1,2,2,1,0
1465,Business Class,5,5,5,4,5,5,1,1
1466,Business Class,5,5,4,5,5,5,1,1
1467,Economy Class,3,2,1,1,3,1,1,0
1468,Business Class,3,1,1,3,4,2,1,0
1469,Economy Class,1,2,1,3,1,1,1,0
1470,Economy Class,2,1,2,5,1,2,1,0
1471,Premium Economy,1,2,1,1,1,1,1,0
1472,Economy Class,2,4,2,2,5,4,1,0
1473,Business Class,2,3,1,1,2,1,1,0
1474,Business Class,1,1,1,1,1,1,1,0
1475,Business Class,1,4,4,1,1,3,1,0
1476,Economy Class,1,3,1,2,2,1,1,0
1477,Business Class,3,5,4,3,4,3,1,1
1478,Business Class,3,5,2,4,4,2,1,0
1479,Premium Economy,3,5,1,2,3,1,1,0
1480,Economy Class,3,1,1,3,3,3,1,0
1481,Economy Class,1,1,1,3,1,2,1,0
1482,Economy Class,3,3,1,1,3,3,1,0
1483,Economy Class,2,3,1,3,3,3,1,0
1484,Business Class,2,5,3,2,1,1,1,0
1485,Economy Class,1,1,1,1,1,2,1,0
1486,Economy Class,4,2,2,5,3,3,1,0
1487,Business Class,5,5,4,4,5,1,1,0
1488,Economy Class,4,3,1,1,2,1,1,0
1489,Economy Class,1,2,1,3,3,1,1,0
1490,Economy Class,1,3,1,1,1,1,1,0
1491,Economy Class,3,1,1,3,3,1,1,0
1492,Business Class,4,1,3,4,5,2,1,0
1493,Premium Economy,4,4,1,2,3,2,1,0
1494,Business Class,2,4,1,1,2,2,1,0
1495,Premium Economy,4,5,4,3,4,4,1,1
1496,Economy Class,2,5,3,3,2,1,1,0
1497,Business Class,1,4,2,2,3,1,1,0
1498,Economy Class,3,4,3,3,3,1,1,0
1499,Economy Class,4,1,1,3,4,1,4,0
1500,Economy Class,1,3,3,3,3,2,1,0
1501,Economy Class,1,1,1,3,1,1,1,0
1502,Business Class,1,4,3,3,2,3,1,1
1503,Business Class,1,3,3,3,3,1,1,0
1504,Economy Class,2,2,1,3,2,1,1,0
1505,Economy Class,3,3,1,2,3,2,1,0
1506,Economy Class,3,2,4,1,4,3,1,0
1507,Economy Class,4,3,2,2,4,3,1,0
1508,Business Class,2,4,4,3,2,2,1,0
1509,Economy Class,3,2,1,2,1,1,2,0
1510,Economy Class,4,3,1,1,3,2,1,0
1511,Business Class,3,4,3,3,1,3,1,0
1512,Business Class,4,5,4,4,4,4,1,1
1513,Economy Class,3,2,1,4,4,1,1,0
1514,Business Class,2,3,2,2,5,1,1,0
1515,Economy Class,2,1,1,3,2,1,1,0
1516,Economy Class,3,2,1,2,2,1,1,0
1517,Economy Class,1,1,2,3,3,1,1,0
1518,Economy Class,1,1,1,2,2,1,1,0
1519,Economy Class,3,4,1,3,4,5,1,1
1520,Business Class,2,2,3,3,1,1,1,0
1521,Business Class,2,3,1,3,4,2,1,0
1522,Premium Economy,3,1,3,4,1,2,1,0
1523,Economy Class,2,3,1,2,2,1,1,0
1524,Premium Economy,3,3,2,2,3,2,1,0
1525,Economy Class,3,2,1,3,2,3,1,0
1526,Economy Class,3,3,2,2,3,3,1,0
1527,Economy Class,3,1,1,3,3,1,1,0
1528,Economy Class,1,3,1,4,4,3,1,0
1529,Premium Economy,5,3,2,5,5,3,1,0
1530,Business Class,1,4,2,3,1,1,1,0
1531,Business Class,5,5,3,4,3,3,1,1
1532,Business Class,5,5,5,4,5,4,1,1
1533,Economy Class,3,4,3,3,3,1,1,0
1534,Economy Class,2,3,1,1,1,1,1,0
1535,Economy Class,1,2,3,2,2,1,1,0
1536,Business Class,1,3,1,1,2,2,1,0
1537,Premium Economy,5,5,3,5,4,4,1,1
1538,Economy Class,1,2,1,1,2,1,1,0
1539,Business Class,5,5,5,4,5,5,1,1
1540,Premium Economy,2,2,2,1,2,3,1,0
1541,Business Class,4,3,1,1,1,1,1,0
1542,Economy Class,3,2,3,3,3,3,1,0
1543,Economy Class,4,4,1,5,5,5,1,1
1544,Economy Class,2,2,3,3,3,2,1,0
1545,Economy Class,5,5,2,3,5,2,1,1
1546,Economy Class,3,5,1,1,3,2,1,0
1547,First Class,1,1,1,1,3,1,1,0
1548,Economy Class,1,3,2,1,2,2,1,0
1549,Economy Class,4,3,2,2,4,4,1,1
1550,Premium Economy,3,4,2,1,4,3,1,0
1551,Economy Class,1,2,1,3,1,1,1,0
1552,Economy Class,4,5,5,4,5,5,1,1
1553,Economy Class,4,1,1,3,5,2,1,0
1554,Economy Class,3,3,3,3,1,4,1,0
1555,Economy Class,2,3,2,3,4,3,1,0
1556,Business Class,4,3,4,4,2,3,1,0
1557,Economy Class,2,5,4,3,4,3,1,1
1558,Economy Class,5,5,4,4,5,5,1,1
1559,Economy Class,1,3,1,1,3,1,1,0
1560,Business Class,4,4,4,4,4,4,1,1
1561,Business Class,3,4,3,3,4,4,1,1
1562,Premium Economy,1,1,1,1,1,1,1,0
1563,Economy Class,2,2,2,2,4,2,1,0
1564,Economy Class,5,5,2,3,5,4,1,1
1565,Economy Class,2,5,1,3,1,3,1,0
1566,Economy Class,2,2,1,1,2,2,1,0
1567,Business Class,1,1,1,4,3,2,1,0
1568,Economy Class,1,1,1,3,1,1,1,0
1569,Economy Class,3,2,1,3,4,3,1,0
1570,Economy Class,2,3,3,3,1,1,3,0
1571,Economy Class,1,1,1,3,4,1,1,0
1572,Economy Class,2,1,1,1,2,1,1,0
1573,Economy Class,1,1,1,3,1,1,1,0
1574,Economy Class,1,1,1,2,1,2,1,0
1575,Economy Class,3,2,1,3,3,1,3,0
1576,Economy Class,4,5,4,3,5,5,1,1
1577,Business Class,4,4,3,3,4,5,1,1
1578,Business Class,3,4,3,3,1,1,1,0
1579,Business Class,3,4,4,3,3,4,1,1
1580,Business Class,4,4,4,3,5,5,1,1
1581,Economy Class,2,3,1,1,3,2,1,0
1582,Economy Class,2,3,2,3,5,5,1,1
1583,Business Class,5,5,5,4,1,4,1,1
1584,Economy Class,3,3,1,3,4,2,1,0
1585,Economy Class,3,4,3,3,4,3,1,0
1586,Economy Class,3,5,5,5,5,5,1,1
1587,Business Class,1,2,2,2,1,2,1,0
1588,Economy Class,4,5,4,4,4,4,1,1
1589,Economy Class,3,2,3,2,1,1,1,0
1590,Economy Class,2,2,1,1,3,2,1,0
1591,Business Class,1,1,1,3,1,1,1,0
1592,Economy Class,1,1,1,3,2,1,1,0
1593,Premium Economy,5,5,5,3,5,5,1,1
1594,Economy Class,3,5,5,3,5,4,1,1
1595,Economy Class,1,1,1,1,2,3,1,0
1596,Economy Class,4,5,1,4,4,2,1,0
1597,Economy Class,4,2,1,3,2,2,1,0
1598,Economy Class,2,1,1,3,2,1,1,0
1599,Economy Class,2,3,1,1,3,1,1,0
1600,First Class,5,4,4,4,4,5,1,1
1601,Business Class,2,3,3,3,3,2,1,0
1602,Economy Class,1,1,1,1,1,1,1,0
1603,First Class,3,5,4,2,3,3,1,0
1604,First Class,2,3,2,3,2,2,1,0
1605,Business Class,4,3,3,3,4,3,1,1
1606,Economy Class,3,5,1,1,5,1,1,0
1607,Economy Class,5,5,3,1,5,3,1,1
1608,Business Class,3,4,4,3,3,4,1,1
1609,Premium Economy,1,1,1,1,1,1,1,0
1610,Business Class,3,3,2,2,1,1,1,0
1611,Economy Class,2,1,1,1,2,1,1,0
1612,Economy Class,2,2,1,2,1,2,1,0
1613,Business Class,2,3,2,3,1,1,1,0
1614,Business Class,2,5,1,1,1,1,1,0
1615,Economy Class,1,4,1,3,4,2,1,0
1616,Economy Class,5,5,5,5,5,5,5,1
1617,Business Class,3,3,3,3,4,3,1,0
1618,First Class,3,1,1,3,3,1,1,0
1619,Economy Class,3,4,1,1,4,2,1,0
1620,Economy Class,2,2,1,3,2,2,1,0
1621,Premium Economy,1,1,3,3,1,1,1,0
1622,Business Class,1,1,1,1,1,1,1,0
1623,Economy Class,3,3,2,2,2,3,1,0
1624,Economy Class,4,4,3,3,2,2,1,0
1625,Economy Class,4,1,1,3,3,1,1,0
1626,Economy Class,2,3,1,3,4,3,1,0
1627,Business Class,4,2,4,4,4,4,1,1
1628,Business Class,3,3,1,1,3,2,1,0
1629,Economy Class,3,1,1,4,4,2,1,0
1630,Business Class,3,2,2,4,1,1,1,0
1631,Economy Class,4,1,3,3,2,1,1,0
1632,Business Class,5,5,3,3,3,4,1,1
1633,Economy Class,4,5,4,3,5,4,1,1
1634,Economy Class,3,1,1,1,1,1,1,0
1635,Economy Class,1,2,1,2,2,2,1,0
1636,Economy Class,1,3,2,1,4,2,1,0
1637,Economy Class,4,5,3,3,5,4,1,1
1638,Economy Class,2,3,2,1,1,1,1,0
1639,Economy Class,1,1,1,1,1,1,1,0
1640,Business Class,1,4,3,3,4,1,1,0
1641,Economy Class,1,1,1,1,1,1,1,0
1642,Business Class,2,4,1,1,1,1,1,0
1643,Business Class,1,4,4,2,3,1,1,0
1644,Business Class,3,5,4,4,4,4,1,1
1645,Economy Class,3,3,3,3,3,3,1,1
1646,Economy Class,1,2,1,1,1,1,1,0
1647,Economy Class,3,4,2,1,1,2,1,0
1648,Economy Class,4,4,2,4,4,3,1,0
1649,Economy Class,3,4,2,3,4,2,1,0
1650,Economy Class,1,1,3,3,1,1,1,0
1651,First Class,4,5,4,4,4,4,1,1
1652,Economy Class,3,4,4,3,5,3,1,1
1653,Economy Class,1,1,1,2,1,1,1,0
1654,Premium Economy,5,4,4,5,5,5,1,1
1655,Economy Class,5,5,3,3,5,5,1,1
1656,Business Class,4,5,2,3,4,4,1,1
1657,Economy Class,2,3,2,3,1,1,1,0
1658,Economy Class,2,3,2,3,2,1,1,1
1659,Premium Economy,4,4,2,5,4,3,1,0
1660,Premium Economy,2,4,2,1,1,1,1,0
1661,Economy Class,1,1,1,1,1,1,1,0
1662,Economy Class,3,3,1,2,1,2,1,0
1663,Economy Class,3,5,4,2,1,2,1,0
1664,Economy Class,4,5,4,5,3,5,1,1
1665,Premium Economy,1,1,1,1,1,1,1,0
1666,First Class,1,3,2,1,4,1,1,0
1667,Economy Class,4,3,1,3,4,3,1,1
1668,Business Class,4,5,5,4,4,4,1,1
1669,Economy Class,1,2,2,1,2,2,1,0
1670,Economy Class,1,3,3,1,3,4,1,1
1671,Premium Economy,3,1,2,1,3,2,1,0
1672,Economy Class,3,3,2,3,3,3,1,0
1673,Premium Economy,4,4,1,4,1,1,1,0
1674,Premium Economy,1,1,2,2,1,1,1,0
1675,Business Class,3,2,2,2,3,3,1,0
1676,Business Class,2,4,3,3,4,2,1,1
1677,Business Class,4,4,4,3,4,5,1,1
1678,Premium Economy,1,1,1,1,1,1,1,0
1679,Premium Economy,5,5,5,3,5,5,1,1
1680,Business Class,2,3,1,2,2,1,1,0
1681,Economy Class,3,2,1,2,3,1,1,0
1682,Premium Economy,3,2,2,3,4,3,1,1
1683,Economy Class,4,5,4,3,3,4,1,1
1684,Economy Class,4,5,4,3,4,4,1,1
1685,Premium Economy,2,3,1,3,2,1,1,0
1686,Business Class,4,3,3,4,2,2,1,1
1687,First Class,3,2,1,1,1,1,1,0
1688,Economy Class,3,2,2,3,4,4,1,1
1689,Economy Class,1,1,1,2,4,1,2,0
1690,Premium Economy,5,5,3,4,5,4,4,1
1691,Business Class,1,2,1,1,1,1,1,0
1692,Economy Class,1,2,1,4,3,2,3,0
1693,Economy Class,2,2,2,1,4,2,1,0
1694,Business Class,4,4,4,3,4,3,1,1
1695,Business Class,2,1,2,2,1,1,1,0
1696,Economy Class,1,1,1,1,1,1,1,0
1697,Economy Class,2,4,1,3,4,3,1,1
1698,Business Class,1,2,1,1,3,1,1,0
1699,Business Class,2,1,2,2,4,1,1,0
1700,Economy Class,3,3,3,3,1,1,1,0
1701,Economy Class,1,2,3,3,3,2,1,0
1702,First Class,5,5,5,4,3,4,1,1
1703,Economy Class,4,4,4,3,4,4,1,1
1704,Economy Class,3,4,4,3,3,5,1,1
1705,First Class,5,5,4,4,5,5,1,1
1706,Business Class,5,5,5,3,3,3,3,0
1707,Premium Economy,5,5,5,4,5,5,5,1
1708,Economy Class,3,5,5,4,3,4,1,1
1709,Business Class,4,5,3,3,2,3,1,1
1710,Economy Class,4,2,1,3,1,1,1,0
1711,Economy Class,1,1,1,1,1,1,1,0
1712,First Class,3,3,3,3,2,3,1,0
1713,Economy Class,3,4,3,3,5,4,1,1
1714,Business Class,3,5,2,5,3,2,1,0
1715,First Class,5,5,5,4,5,5,1,1
1716,Premium Economy,1,1,1,1,1,1,1,0
1717,Economy Class,1,5,2,3,1,1,1,0
1718,Economy Class,4,5,4,3,5,3,1,1
1719,Economy Class,3,4,3,2,4,4,2,1
1720,First Class,5,5,5,2,4,4,1,1
1721,Economy Class,1,1,2,1,2,1,1,0
1722,Economy Class,1,2,2,4,2,2,1,0
1723,Premium Economy,3,1,1,2,3,1,1,0
1724,Economy Class,3,2,1,4,4,4,1,1
