,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
452,Economy Class,4,4,4,5,5,5,5,1
453,Economy Class,3,5,5,5,5,5,1,1
454,Economy Class,1,1,1,5,1,1,1,0
455,Economy Class,1,1,3,3,2,3,1,0
456,Business Class,5,5,5,4,5,4,1,1
457,Business Class,5,5,5,3,5,5,1,1
458,Economy Class,2,3,3,2,2,2,2,0
459,Economy Class,1,4,2,3,1,1,1,0
460,Economy Class,3,5,2,3,3,3,1,0
461,Business Class,4,1,1,4,3,2,1,0
462,Economy Class,1,1,3,3,1,1,1,0
463,Economy Class,4,4,3,3,1,2,1,0
464,Premium Economy,1,1,1,3,3,1,1,0
465,Premium Economy,5,1,2,3,2,1,1,0
466,Business Class,5,5,5,5,5,5,1,1
467,Economy Class,3,3,3,3,1,1,1,0
468,Economy Class,4,4,4,4,4,4,1,1
469,Economy Class,3,2,3,3,4,2,1,0
470,Economy Class,1,2,1,1,1,1,1,0
471,Premium Economy,1,3,1,1,4,1,1,0
472,Economy Class,5,4,4,4,4,3,1,1
473,Economy Class,4,5,4,3,4,5,1,1
474,Premium Economy,1,3,1,3,4,1,1,0
475,Economy Class,5,5,5,4,5,4,3,1
476,Economy Class,4,5,1,1,1,2,2,0
477,Business Class,5,5,5,3,5,4,4,1
478,Economy Class,3,3,3,3,1,1,1,0
479,Economy Class,2,5,5,3,5,5,1,1
480,Economy Class,1,3,3,3,1,1,1,0
481,Economy Class,4,4,3,3,5,4,1,1
482,Economy Class,1,4,3,4,4,3,1,1
483,Economy Class,5,5,5,5,5,5,1,1
484,Business Class,3,3,3,3,3,4,1,1
485,Premium Economy,5,4,3,4,4,4,4,1
486,Premium Economy,3,3,1,3,3,3,1,0
487,Business Class,4,3,2,3,1,3,2,0
488,Business Class,5,5,5,5,2,5,1,1
489,Premium Economy,5,5,4,4,4,4,1,1
490,Economy Class,1,3,3,3,3,1,1,0
491,Business Class,4,5,4,2,3,5,1,1
492,Business Class,4,4,4,1,4,4,1,1
493,Economy Class,3,4,3,3,3,1,1,0
494,Business Class,3,4,4,3,3,3,4,1
495,Economy Class,1,4,1,1,1,3,1,0
496,Business Class,4,5,5,3,5,5,1,1
497,Economy Class,5,5,3,3,3,5,1,1
498,Business Class,1,1,3,3,1,1,1,0
499,Economy Class,4,2,1,3,4,2,1,0
500,Business Class,2,4,1,3,1,1,1,0
501,Premium Economy,3,5,3,3,1,1,1,0
502,Business Class,3,2,2,3,3,3,1,0
503,Economy Class,2,5,3,3,1,3,1,0
504,Business Class,3,4,1,1,1,1,1,0
505,Economy Class,3,3,3,3,1,1,1,0
506,Economy Class,3,4,1,1,1,2,1,0
507,Economy Class,2,3,4,1,4,3,1,0
508,Business Class,5,5,5,5,5,5,1,1
509,Economy Class,4,4,3,3,4,4,1,1
510,Business Class,1,1,1,3,1,1,1,0
511,Business Class,1,2,2,4,1,2,1,0
512,Business Class,4,5,3,3,5,4,1,1
513,Economy Class,2,3,1,4,3,1,1,0
514,Economy Class,3,4,5,5,4,4,1,1
515,Business Class,1,3,1,3,5,1,1,0
516,Premium Economy,4,2,1,2,4,3,3,0
517,Business Class,1,1,3,3,1,1,1,0
518,Business Class,1,3,2,3,3,1,1,0
519,Economy Class,5,5,4,4,5,5,1,1
520,Economy Class,5,5,5,5,5,5,1,1
521,Business Class,3,3,3,3,1,1,1,0
522,Economy Class,3,4,3,3,3,1,1,0
523,First Class,5,5,4,3,5,5,3,1
524,Business Class,3,3,3,4,1,3,4,0
525,Economy Class,5,5,5,5,5,5,5,1
526,Premium Economy,1,1,1,1,1,1,1,0
527,Economy Class,3,2,3,3,1,2,1,0
528,Business Class,1,3,4,1,5,1,1,0
529,Economy Class,3,4,3,3,1,3,1,0
530,Business Class,4,5,5,5,5,5,1,1
531,Economy Class,4,5,3,3,4,4,4,1
532,Premium Economy,2,4,2,2,1,3,4,0
533,Economy Class,1,3,3,3,2,1,1,0
534,Economy Class,4,5,4,4,5,4,1,1
535,Economy Class,4,4,3,3,2,3,1,1
536,Economy Class,2,2,3,3,1,1,1,0
537,Business Class,1,5,3,3,4,1,1,0
538,Economy Class,4,5,5,3,5,4,1,1
539,Business Class,1,2,2,1,1,1,1,0
540,Business Class,1,4,3,3,1,1,1,0
541,Economy Class,2,3,3,3,1,1,1,0
542,Economy Class,1,1,3,3,1,1,1,0
543,Economy Class,2,2,1,1,1,1,1,0
544,Economy Class,2,4,2,1,1,1,1,0
545,Economy Class,3,4,3,3,1,1,1,0
546,Business Class,1,1,1,1,1,1,1,0
547,Economy Class,3,2,1,3,2,2,1,0
548,Economy Class,3,4,3,3,3,1,1,0
549,Economy Class,3,1,1,4,5,3,1,0
550,Economy Class,5,5,4,3,4,4,1,1
551,Business Class,1,1,3,3,1,1,1,0
552,Economy Class,3,5,4,2,4,4,1,1
553,Economy Class,4,3,3,3,2,3,2,1
554,Premium Economy,3,4,4,4,1,3,1,0
555,Business Class,2,1,1,3,3,1,1,0
556,Economy Class,1,1,3,2,3,2,1,0
557,Economy Class,4,5,3,4,5,5,1,1
558,Economy Class,1,3,1,1,3,2,1,0
559,Business Class,2,1,3,3,1,1,1,0
560,Economy Class,4,5,5,5,5,5,1,1
561,Economy Class,1,4,3,5,4,3,1,1
562,Economy Class,1,1,3,3,1,1,1,0
563,Premium Economy,5,5,3,5,5,5,5,1
564,Economy Class,4,5,4,4,4,5,1,1
565,Business Class,2,3,3,3,1,1,1,0
566,Business Class,3,4,4,3,4,4,1,1
567,Business Class,2,1,1,3,3,1,1,0
568,Business Class,2,1,3,3,1,1,1,0
569,Premium Economy,3,4,1,3,3,3,1,1
570,Business Class,1,1,1,3,2,1,1,0
571,Economy Class,1,1,1,1,1,1,1,0
572,Business Class,3,1,3,3,1,1,1,0
573,Economy Class,1,1,3,3,1,1,1,0
574,Economy Class,3,1,3,3,1,1,1,0
575,Economy Class,2,1,1,3,2,1,1,0
576,Economy Class,3,4,3,3,1,2,1,0
577,Economy Class,4,4,3,3,4,4,1,1
578,Economy Class,3,1,1,4,3,3,1,0
579,Economy Class,5,5,5,5,5,5,1,1
580,Economy Class,1,1,1,3,1,1,1,0
