,Date Flown,Aircraft,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
157,April 2022,A320,Business,Business Class,4,5,4,NaN,1,4,3,no
158,April 2022,NaN,Solo Leisure,Economy Class,1,1,1,1,1,1,1,no
159,March 2022,Boeing 777,Couple Leisure,Business Class,4,5,4,2,4,4,NaN,yes
160,March 2022,Boeing 777,Couple Leisure,Business Class,3,3,1,NaN,3,1,NaN,no
161,March 2022,NaN,Couple Leisure,Economy Class,3,1,1,1,2,4,NaN,no
162,March 2022,A320,Business,Business Class,2,1,2,1,1,1,NaN,no
163,March 2022,NaN,Couple Leisure,Economy Class,2,1,2,NaN,1,1,NaN,no
164,March 2022,Boeing 777-200,Couple Leisure,Business Class,2,1,1,2,3,2,NaN,no
165,March 2022,NaN,Couple Leisure,Economy Class,3,3,1,NaN,1,3,NaN,no
166,March 2022,NaN,Couple Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
167,March 2022,Boeing 787-9,Couple Leisure,Economy Class,4,1,1,1,1,3,NaN,no
168,March 2022,NaN,Couple Leisure,Premium Economy,3,2,1,3,4,2,NaN,no
169,March 2022,Boeing 787-900,Solo Leisure,First Class,5,1,1,4,2,2,NaN,no
170,March 2022,A350,Family Leisure,Economy Class,3,4,3,1,3,3,NaN,no
171,February 2022,NaN,Couple Leisure,Economy Class,1,3,1,NaN,1,1,NaN,no
172,March 2022,NaN,Couple Leisure,Premium Economy,4,2,2,3,4,3,NaN,no
173,March 2022,NaN,Business,Economy Class,2,2,1,NaN,1,1,NaN,no
174,March 2022,NaN,Family Leisure,Premium Economy,1,3,3,3,1,1,NaN,no
175,August 2021,A321-neo,Business,Business Class,3,5,2,NaN,1,2,1,no
176,October 2021,NaN,Family Leisure,Economy Class,2,3,2,NaN,1,1,NaN,no
177,February 2022,Boeing 777,Solo Leisure,Premium Economy,3,3,2,3,2,3,NaN,yes
178,March 2022,NaN,Business,Business Class,3,4,1,1,2,1,2,no
179,March 2022,Boeing 777-200,Couple Leisure,Business Class,3,3,2,1,3,3,NaN,no
180,February 2022,A320,Couple Leisure,Business Class,1,3,1,NaN,3,1,NaN,no
181,February 2022,A350,Solo Leisure,Premium Economy,4,5,5,5,4,5,4,yes
182,February 2022,A320,Business,Business Class,3,3,2,NaN,3,2,3,no
183,February 2022,A322,Business,Economy Class,2,3,1,NaN,1,1,NaN,no
184,February 2022,NaN,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
185,February 2022,Boeing 787-9,Family Leisure,Business Class,4,5,4,4,5,4,4,yes
186,January 2022,NaN,Couple Leisure,Economy Class,1,2,1,1,1,1,1,no
187,February 2022,A320,Business,Business Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
188,February 2022,Boeing 787-9,Family Leisure,Business Class,4,5,5,4,5,4,5,yes
189,February 2022,NaN,Family Leisure,Business Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
190,December 2021,NaN,Solo Leisure,Business Class,5,5,5,NaN,4,5,NaN,yes
191,February 2022,NaN,Couple Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,4,NaN,yes
192,January 2022,Boeing 787-9,Couple Leisure,Business Class,4,5,4,4,5,5,NaN,yes
193,January 2022,Boeing 777,Couple Leisure,Business Class,3,4,2,4,3,3,NaN,yes
194,January 2022,Boeing 777,Couple Leisure,Business Class,2,4,3,1,3,3,NaN,no
195,January 2022,A380,Couple Leisure,Economy Class,2,1,1,2,1,1,NaN,no
196,November 2021,NaN,Solo Leisure,Economy Class,3,4,4,4,1,4,NaN,no
197,January 2022,Boeing 737-800,Couple Leisure,Business Class,3,2,3,NaN,4,3,NaN,yes
198,January 2022,NaN,Solo Leisure,Economy Class,5,5,5,NaN,5,5,NaN,yes
199,January 2022,NaN,Solo Leisure,Business Class,4,2,1,3,1,1,NaN,no
200,January 2022,NaN,Business,Economy Class,1,1,2,3,1,2,NaN,no
201,January 2022,NaN,Business,Economy Class,1,4,1,1,1,1,NaN,no
202,October 2021,NaN,Couple Leisure,Business Class,2,1,1,3,1,1,NaN,no
203,December 2021,NaN,Family Leisure,Economy Class,2,4,NaN,NaN,1,2,NaN,no
204,December 2021,A319,Business,Business Class,2,1,1,NaN,2,1,NaN,no
205,December 2021,Boeing 777,Couple Leisure,Business Class,3,3,2,5,4,3,1,yes
206,November 2021,NaN,Solo Leisure,Premium Economy,1,1,NaN,NaN,1,1,NaN,no
207,December 2021,A320-200,Solo Leisure,Business Class,4,5,4,NaN,5,4,5,yes
208,December 2021,A320-200,Solo Leisure,Business Class,4,5,5,NaN,3,4,NaN,yes
209,December 2021,A380,Family Leisure,Economy Class,1,4,1,1,2,1,NaN,no
210,December 2021,Boeing 777,Business,Economy Class,5,5,4,NaN,5,5,NaN,yes
211,November 2021,Boeing 787,Couple Leisure,First Class,4,5,5,3,4,4,5,yes
212,December 2021,A320,Solo Leisure,Business Class,1,2,3,1,1,2,1,no
213,December 2021,Boeing 777,Couple Leisure,Business Class,4,2,3,4,1,4,3,yes
214,December 2021,A320,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
215,December 2021,Boeing 777,Couple Leisure,Business Class,1,5,3,2,5,3,NaN,no
216,August 2021,NaN,Business,Business Class,1,2,2,3,2,1,1,no
217,January 2021,NaN,Family Leisure,Business Class,1,1,1,1,1,1,1,no
218,December 2021,NaN,Solo Leisure,Economy Class,1,1,NaN,NaN,1,1,NaN,no
219,July 2021,NaN,Solo Leisure,Economy Class,3,4,1,3,1,1,NaN,no
220,November 2021,NaN,Family Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
